timestamp,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,attitude.x,attitude.y,attitude.z
5594999999,41.81530940225804,33.956683712891476,-2.017723708361279,-2.7135984390956702,0.404750209897414,-0.01343432411368768,0.05397183319382484,0.054953420897614944,3.07822622006295
5599999999,41.80119304415701,33.95878262069068,-2.01779386250989,-2.707081498316724,0.4012306922618489,-0.01350497951572808,0.054061078686777994,0.05547796700267719,3.0788891427705343
5604999999,41.78992441148746,33.96044855174196,-2.017850252092945,-2.7018611865772812,0.3984164099175683,-0.013562149635738685,0.05413214275422401,0.05589510728781358,3.0794197338552225
5609999999,41.77586922867335,33.96251447982423,-2.0179210745731972,-2.695327492427571,0.394900311435016,-0.013633489202186534,0.05422056244590303,0.05641412387175365,3.080083447216632
5614999999,41.761848099197316,33.964562100171364,-2.0179922662404532,-2.6887847254058026,0.3913862402243178,-0.013704034292740384,0.05430856493604404,0.056929302230910486,3.0807478105400135
5619999999,41.74786106994428,33.96659142335989,-2.018063824662239,-2.682233034660235,0.3878742046566173,-0.013774417823680789,0.05439615098395416,0.05743990022668146,3.0814127662726807
5624999999,41.73390818695469,33.968602460029146,-2.0181357504203583,-2.6756725870021256,0.3843642196102148,-0.013845175354895036,0.05448329141896102,0.0579460899345453,3.0820782539598666
5629999999,41.722770496286124,33.970198130275456,-2.018193557576525,-2.670418018795236,0.381557719426518,-0.013902379994284246,0.05455264802485637,0.0583485010186503,3.0826109933662322
5634999999,41.70887919001744,33.97217627843187,-2.0182661519958867,-2.6638421954079115,0.37805154771607263,-0.013973661437314449,0.054638868430893724,0.05884905491280835,3.083277483635094
5639999999,41.69502215450414,33.97413617113982,-2.0183391149705856,-2.657258068504258,0.3745476281689897,-0.014044024925013927,0.05472456765526123,0.059345764872936316,3.0839446651295366
5644999999,41.6811994326416,33.976077820151225,-2.0184124435095288,-2.650665779812794,0.3710459704517069,-0.014114143041672533,0.05480972496456539,0.05983793111982293,3.0846124414587424
5649999999,41.66741106652834,33.97800123728485,-2.01848613792549,-2.644065485626409,0.36754659000984197,-0.014184617500149892,0.054894291084344425,0.06032575828568303,3.0852807164825173
5654999999,41.65640513757825,33.97952685204054,-2.018545358993924,-2.638779573809731,0.3647487380502149,-0.014241622232889948,0.054961469803368225,0.06071353600235221,3.0858156232920178
5659999999,41.64267871550035,33.98141748201536,-2.018619719764139,-2.6321652339459156,0.36125358686143483,-0.014312707637062234,0.05504480917364092,0.061195859102160396,3.086484736590493
5664999999,41.62898676287509,33.98328991456011,-2.018694448265577,-2.6255433219806483,0.3577609263697527,-0.014382958828024178,0.05512746125215683,0.061674404263869775,3.087154510994766
5669999999,41.61532931881409,33.98514416267865,-2.0187695420357588,-2.6189139702115605,0.3542707702078321,-0.014453077659777974,0.05520941974836028,0.06214846699486373,3.087824925388147
5674999999,41.60170642167513,33.98698023946535,-2.0188450019903934,-2.612277327735714,0.35078313864246996,-0.014523668601826602,0.055290657814199375,0.06261823390007984,3.0884959337796127
5679999999,41.590833003055856,33.9884360264094,-2.0189056361054916,-2.6069628484147054,0.34799486682831476,-0.014580844712897695,0.05535510187405748,0.06299157421169638,3.0890331192571634
5684999999,41.57727238472379,33.990239428312925,-2.0189817643609946,-2.60031344016175,0.3445119219824379,-0.01465220645047476,0.055434959450565396,0.06345584843905334,3.089705188739085
5689999999,41.56374641663131,33.992024697040634,-2.0190582618464665,-2.5936571739585914,0.3410317293430399,-0.014722748018041786,0.055514085018018,0.06391637560581641,3.090377998933992
5694999999,41.55025513418045,33.99379184696378,-2.0191351260711703,-2.586994177757337,0.3375543039760141,-0.014793138874267496,0.055592493319889955,0.06437247987647086,3.0910514643737
5699999999,41.53679857204794,33.995540892543104,-2.0192123578352734,-2.580324594472512,0.334079664549906,-0.014863978606926483,0.05567018414740376,0.06482434865880586,3.091725478237612
5704999999,41.52605834382587,33.9969271036622,-2.019274410297258,-2.5749842652398502,0.33130197225319996,-0.01492133914981448,0.05573181349952689,0.0651833994043507,3.0922650140884604
5709999999,41.512664363428165,33.99864359833173,-2.0193523125191226,-2.5683031732828163,0.3278324808305084,-0.01499291104541984,0.055808203036420825,0.06562981746276361,3.0929399654542307
